p,d,q,P,D,Q,AIC
1,1,1,1,1,1,-248.98
0,1,2,1,1,0,-248.81
2,1,2,0,1,0,-248.57
1,1,0,0,1,0,-248.11
1,1,2,0,1,0,-247.36
0,1,1,1,1,0,-246.88
1,1,1,1,1,0,-246.48
1,1,1,0,1,0,-245.73
1,1,0,1,1,1,-245.32
0,1,1,1,1,1,-245.16
1,1,2,1,1,0,-244.83
0,1,2,0,1,0,-244.58
0,1,1,0,1,0,-243.93
0,1,0,0,1,0,-243.92
2,1,1,0,1,0,-243.76
2,1,0,0,1,0,-243.27
0,1,0,1,1,1,-242.81
0,1,1,0,1,1,-242.35
1,1,2,1,1,1,-241.85
0,1,2,1,1,1,-241.45
0,1,0,1,1,0,-241.42
2,1,2,1,1,1,-240.17
2,1,2,1,1,0,-240.0
2,1,0,1,1,1,-239.85
1,1,0,0,1,1,-239.31
1,1,0,1,1,0,-238.12
2,1,0,0,1,1,-238.07
2,1,1,1,1,1,-237.85
0,1,0,0,1,1,-237.53
0,1,2,0,1,1,-237.1
1,1,2,0,1,1,-235.55
1,1,1,0,1,1,-235.11
2,1,2,0,1,1,-234.59
2,1,0,1,1,0,-233.1
2,1,1,0,1,1,-232.39
2,1,1,1,1,0,-232.37
